"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",64493,134297,294065,1001618,2672539,4201065,10488523,27971014,0.0399188577670031
"2",50836,113682,246309,808487,2787188,4764698,11780898,30898470,0.0298152474585727
"3",42164,91158,195861,650213,2313360,3998896,9894819,25986494,0.0300159167962002
"4",32070,72497,159252,492823,2239602,4069581,10206083,26038352,0.0213723602802109
"5",35407,78117,169341,542340,2091044,3680652,9108378,23951693,0.0263823175697636
"6",33524,75174,163192,532940,2002773,3464330,8609574,22339159,0.0281683757686258
"7",32154,68296,148155,491777,1916971,3090050,7720559,20103896,0.0295451206664633
"8",24705,54255,118413,380601,1644453,2849601,7086236,18661277,0.0241381350724558
"9",22264,48931,105986,367131,1412798,2298236,5677894,15141954,0.0272543206978052
"10",24645,55831,119430,399983,1532081,2467762,6120141,16355960,0.0277804156794591
"11",33574,71229,158237,554810,1460797,2439346,6093762,16584479,0.0432952198627041
"12",41538,83665,184930,603950,1609060,2544506,6373846,16779978,0.0424944653476662
"13",14960,34980,74240,230998,1150217,2085834,5177526,13364426,0.0164373020230574
"14",24939,50588,110994,360142,1064099,1743275,4300892,11425316,0.032223170723573
"15",25918,52738,115976,389410,1001017,1554134,3780986,10225146,0.0367140636040629
"16",24188,42949,93303,345219,975450,1296094,3244552,8838860,0.047706530377549
"17",30229,56935,122714,463526,1027793,1282407,3180497,8781448,0.0671128361968271
"18",15460,32795,70898,221466,881811,1611951,3887239,10705381,0.0233610583417114
"19",30695,50021,107384,427852,800191,799347,2056172,5384209,0.0994105423871213
"20",12283,25517,53901,200496,693071,1065209,2567366,7296980,0.0357782885144593
"21",6923,14711,31170,105504,445006,774409,1905783,5119843,0.0230834594823124
"22",9454,17088,36266,149524,434145,550624,1335244,3887594,0.0409346853982296
"23",20760,48965,107251,366445,1759384,3112706,7882263,20369761,0.0219232080154372
"24",707,2448,4896,17570,297707,507857,1311292,3342684,0.00245859436425706
